node,degree,centrality,clustering
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,2.0,2.0,0.0
4,1.0,0.0,0.0
5,1.0,0.0,0.0
6,1.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,1.0,0.0,0.0
10,1.0,0.0,0.0
11,1.0,0.0,0.0
12,0.0,0.0,0.0
13,1.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,1.0,0.0,0.0
18,1.0,0.0,0.0
19,2.0,6.0,0.0
20,2.0,4.0,0.0
21,0.0,0.0,0.0
22,1.0,0.0,0.0
23,2.0,8.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,1.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,1.0,0.0,0.0
35,0.0,0.0,0.0
36,1.0,0.0,0.0
37,4.0,10.0,0.3333333333333333
38,2.0,2.0,0.0
39,2.0,2.0,0.0
40,1.0,0.0,0.0
41,1.0,0.0,0.0
42,0.0,0.0,0.0
43,1.0,0.0,0.0
44,2.0,2.0,0.0
45,1.0,0.0,0.0
46,1.0,0.0,0.0
47,2.0,0.0,1.0
48,0.0,0.0,0.0
49,1.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,1.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,2.0,2.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,1.0,0.0,0.0
61,1.0,0.0,0.0
62,0.0,0.0,0.0
63,1.0,0.0,0.0
64,0.0,0.0,0.0
65,2.0,0.0,1.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,1.0,0.0,0.0
71,2.0,0.0,1.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,1.0,0.0,0.0
75,0.0,0.0,0.0
76,1.0,0.0,0.0
77,0.0,0.0,0.0
78,1.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,3.0,2.0,0.6666666666666666
85,1.0,0.0,0.0
86,0.0,0.0,0.0
87,2.0,2.0,0.0
88,0.0,0.0,0.0
89,1.0,0.0,0.0
90,1.0,0.0,0.0
91,1.0,0.0,0.0
92,1.0,0.0,0.0
93,1.0,0.0,0.0
94,0.0,0.0,0.0
95,1.0,0.0,0.0
96,1.0,0.0,0.0
97,2.0,4.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,2.0,12.0,0.0
103,1.0,0.0,0.0
104,1.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,1.0,0.0,0.0
108,1.0,0.0,0.0
109,2.0,0.0,1.0
110,0.0,0.0,0.0
111,1.0,0.0,0.0
112,1.0,0.0,0.0
113,1.0,0.0,0.0
114,2.0,0.0,1.0
115,0.0,0.0,0.0
116,1.0,0.0,0.0
117,1.0,0.0,0.0
118,0.0,0.0,0.0
119,3.0,12.0,0.3333333333333333
120,3.0,6.0,0.0
121,0.0,0.0,0.0
122,1.0,0.0,0.0
123,1.0,0.0,0.0
124,0.0,0.0,0.0
125,3.0,8.0,0.3333333333333333
126,1.0,0.0,0.0
127,1.0,0.0,0.0
128,0.0,0.0,0.0
129,1.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,1.0,0.0,0.0
135,3.0,10.0,0.0
136,1.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,1.0,0.0,0.0
142,2.0,2.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,1.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,2.0,2.0,0.0
149,2.0,0.0,1.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
