cell,x,y,slice,radius
0,0,0,0,0
1,412,2072,1,132
2,160,2101,1,143
3,2421,3938,1,134
4,1969,4290,1,142
5,2127,390,1,129
6,1389,1636,1,135
7,2515,2041,1,127
8,1399,2485,1,142
9,1122,3424,1,139
10,2749,1741,1,142
11,1698,1897,1,144
12,89,2986,1,136
13,396,2642,1,133
14,3141,1575,1,149
15,538,3156,1,149
16,851,3267,1,142
17,2642,4030,1,137
18,2406,1652,1,127
19,1753,953,1,145
20,1124,4117,1,140
21,826,2285,1,125
22,929,386,1,146
23,1768,2663,1,142
24,2459,1766,1,125
25,1798,1445,1,146
26,1427,4200,1,144
27,1881,4430,1,133
28,3016,1995,1,147
29,2816,4254,1,141
30,1809,4364,1,137
31,3045,1731,1,141
32,2370,1154,1,135
33,3512,2095,1,137
34,2985,2547,1,142
35,391,2031,1,135
36,1820,4430,1,131
37,317,2993,1,127
38,3253,3750,1,149
39,1602,1070,1,134
40,568,3244,1,138
41,1486,2672,1,136
42,412,1272,1,135
43,1009,4226,1,148
44,920,2298,1,143
45,1891,190,1,132
46,1707,3068,1,141
47,2787,3806,1,142
48,2059,3037,1,134
49,2355,3778,1,150
50,2627,4675,1,127
51,981,2273,1,135
52,2945,830,1,132
53,2342,733,1,126
54,358,2408,1,135
55,2789,3236,1,134
56,1434,4082,1,143
57,763,1169,1,129
58,2274,4707,1,135
59,2788,3633,1,125
60,1693,1394,1,148
61,3303,1570,1,148
62,1583,3055,1,127
63,2608,1678,1,135
64,1686,2083,1,132
65,3113,3360,1,130
66,2434,392,1,136
67,540,3073,1,137
68,2162,2668,1,129
69,2678,3599,1,132
70,212,3565,1,143
71,323,3268,1,125
72,949,3633,1,144
73,2571,2783,1,141
74,2450,2519,1,125
75,3336,2809,1,137
76,2198,1125,1,131
77,1380,1932,1,145
78,3225,3472,1,144
79,1224,1873,1,129
80,1617,1725,1,135
81,1437,4632,1,142
82,3074,1660,1,126
83,2491,2321,1,140
84,2480,2517,1,139
85,3332,3461,1,144
86,2118,3308,1,136
87,1673,2088,1,141
88,900,2143,1,126
89,2826,3205,1,136
90,1663,3627,1,136
91,882,693,1,125
92,771,2286,1,143
93,393,1280,1,132
94,1801,3851,1,129
95,3110,1470,1,150
