cell,x,y,slice,radius
0,0,0,0,0
1,1902,3325,1,132
2,3014,3326,1,144
3,3013,325,1,137
4,1284,1920,1,135
5,1796,4263,1,149
6,2006,4087,1,146
7,413,3501,1,127
8,386,1864,1,139
9,958,976,1,125
10,2682,3663,1,131
11,3383,1652,1,137
12,2313,1347,1,149
13,1085,919,1,150
14,4142,2800,1,125
15,1355,3993,1,126
16,1082,3021,1,131
17,278,3629,1,139
18,768,2148,1,137
19,668,2094,1,128
20,2802,1928,1,138
21,2114,1983,1,130
22,2160,1018,1,135
23,1294,1781,1,150
24,3962,2427,1,143
25,3084,2017,1,132
26,2217,1007,1,134
27,1761,3560,1,138
28,2242,2446,1,131
29,771,3185,1,125
30,3484,4346,1,127
31,3153,4188,1,125
32,1651,4284,1,126
33,1000,3435,1,140
34,2433,4845,1,146
35,1629,600,1,149
36,2663,1721,1,133
37,1732,297,1,134
38,3907,3528,1,150
39,3474,1654,1,148
40,1118,1368,1,146
41,3643,2019,1,133
42,224,2819,1,147
43,2964,3396,1,137
44,1918,1532,1,138
45,1809,1310,1,128
46,3018,2195,1,137
47,1352,4332,1,139
48,2885,4010,1,126
49,3564,2099,1,150
50,2075,4992,1,137
51,225,1631,1,145
52,405,1467,1,131
53,412,2625,1,144
54,3226,2024,1,132
55,3594,3744,1,132
56,1958,2238,1,136
57,1999,2278,1,130
58,2406,264,1,133
59,1154,2481,1,144
60,3780,2405,1,125
61,711,1687,1,125
62,3914,2772,1,144
63,2743,3323,1,142
64,1623,3019,1,149
65,3066,396,1,149
66,2338,247,1,149
67,3079,2976,1,126
68,2528,4227,1,131
69,1059,530,1,128
70,2650,3866,1,136
71,1588,4621,1,143
72,1257,869,1,138
73,775,3184,1,129
74,1317,2746,1,131
75,2580,487,1,143
76,1423,3883,1,142
77,1554,3365,1,145
78,2559,1752,1,129
79,2769,2422,1,134
80,3257,2665,1,126
81,2754,3460,1,146
82,3113,2896,1,143
83,2806,4186,1,130
84,3457,2330,1,129
85,2829,1927,1,150
86,1287,1248,1,135
87,3295,2486,1,140
88,1089,345,1,149
89,2549,4578,1,146
90,3048,2592,1,149
91,3996,2276,1,127
92,1943,2525,1,139
93,1197,2760,1,144
94,3336,3321,1,144
95,2117,3394,1,130
96,4225,2056,1,134
97,2186,3203,1,150
98,1502,1512,1,143
99,1405,3256,1,148
100,83,2424,1,136
101,2211,1184,1,129
102,397,2175,1,138
103,2992,3196,1,137
104,3601,1967,1,132
105,1417,4157,1,140
106,3835,2640,1,150
107,381,3123,1,130
108,2936,4528,1,141
109,971,2919,1,141
110,2681,1976,1,147
111,1369,4510,1,129
112,3571,1193,1,128
113,3854,2639,1,143
114,2703,1491,1,130
115,1602,954,1,127
116,884,2368,1,150
117,2695,2959,1,128
118,2857,4409,1,132
119,2480,4807,1,141
120,3930,2825,1,146
121,2166,4272,1,140
122,2075,1424,1,131
123,3468,4408,1,133
124,3252,2903,1,143
125,1474,604,1,125
126,3625,2719,1,144
127,994,3101,1,147
128,1779,3795,1,132
129,397,3548,1,139
130,657,989,1,133
131,954,2310,1,131
132,1876,1410,1,127
133,1045,3079,1,145
134,2666,2879,1,149
135,957,4077,1,137
136,2866,3747,1,137
137,3326,3403,1,136
138,2692,2957,1,127
139,1011,454,1,127
140,1744,1679,1,127
141,1927,1603,1,137
142,1493,3179,1,131
143,1730,2519,1,132
144,2800,3655,1,142
145,2980,2267,1,144
146,4185,2542,1,138
147,1443,4534,1,150
148,505,3819,1,130
149,3138,4162,1,127
150,1712,4381,1,129
151,3068,1325,1,138
152,2323,3419,1,133
153,2197,867,1,133
154,1399,3588,1,127
155,2126,4353,1,141
156,258,1494,1,147
157,4005,2251,1,137
158,2559,2495,1,131
159,1709,4569,1,135
160,781,1513,1,134
161,335,1624,1,132
162,2013,2668,1,148
163,3847,2619,1,135
164,3880,3797,1,143
165,1865,4068,1,147
166,2333,3979,1,125
167,3552,3067,1,130
168,2814,2315,1,142
169,2447,1620,1,126
170,965,3710,1,135
171,2515,2347,1,131
172,1038,2311,1,139
173,2037,233,1,140
174,1633,4115,1,126
175,1014,2852,1,126
176,553,4040,1,140
177,1586,3656,1,130
178,808,2813,1,147
179,753,1566,1,130
180,975,1373,1,141
181,3662,1917,1,135
182,3362,3107,1,140
183,3465,4332,1,137
184,1370,4254,1,137
185,2552,3955,1,139
186,4122,2808,1,133
187,1482,3401,1,143
188,2656,4064,1,131
189,2812,3903,1,143
190,3888,1793,1,141
191,3879,2583,1,133
192,2137,2550,1,138
193,537,2233,1,138
194,547,2848,1,137
195,1240,2423,1,150
196,692,2499,1,147
197,183,3363,1,150
198,3651,1876,1,143
199,1327,4172,1,148
200,1630,2673,1,143
201,3596,2557,1,144
202,3578,892,1,125
203,2336,2020,1,149
204,3180,2448,1,139
205,3053,3906,1,133
206,2071,1952,1,131
207,3832,2754,1,150
208,1997,1269,1,138
209,2687,2756,1,131
210,1789,1319,1,134
211,1014,4275,1,131
212,2094,3182,1,125
213,2842,2938,1,144
214,1539,2357,1,145
215,4194,3103,1,146
216,1414,4798,1,132
217,705,3121,1,145
218,156,2497,1,144
219,2320,748,1,141
220,3160,1380,1,137
221,4019,3411,1,132
222,3970,1382,1,133
223,2620,1694,1,138
224,3602,2000,1,150
225,3207,687,1,133
226,2445,749,1,146
227,3742,2519,1,146
228,419,1674,1,130
229,993,3618,1,140
230,1233,1482,1,125
231,1753,1113,1,125
232,3520,1970,1,138
233,2527,1003,1,144
234,1441,201,1,148
235,2413,4917,1,136
236,968,1202,1,146
237,3823,1467,1,133
238,2036,3057,1,125
239,2462,4729,1,130
240,1843,2286,1,139
241,1008,1834,1,135
242,2273,4468,1,130
243,2480,4243,1,141
244,1491,838,1,134
245,3736,2907,1,128
246,3887,2106,1,130
247,1890,3504,1,142
248,386,3406,1,131
249,975,726,1,125
250,1949,4475,1,131
251,978,4470,1,133
252,851,3443,1,148
253,2405,4958,1,130
254,2764,869,1,148
255,863,2417,1,132
256,4074,3189,1,146
257,2360,1661,1,127
258,3062,4635,1,142
259,957,3608,1,138
260,495,3684,1,147
261,572,1607,1,129
262,2103,509,1,126
263,3351,2276,1,135
264,1426,547,1,150
265,1584,3167,1,148
266,2367,1448,1,128
267,2475,214,1,143
268,2459,1137,1,137
269,2127,3246,1,140
270,3951,1596,1,149
