comp,bumber of nodes,global clustering coefficient,transitivity
1,3,0.0,0.0
2,30,0.4752380952380953,0.5567010309278351
3,17,0.4294117647058824,0.375
4,11,0.7151515151515152,0.6470588235294118
5,11,0.4121212121212121,0.574468085106383
6,10,0.45999999999999996,0.7317073170731707
7,11,0.5757575757575758,0.5853658536585366
8,10,0.0,0.0
9,6,0.4444444444444444,0.5454545454545454
10,4,0.8333333333333333,0.75
11,11,0.5056277056277055,0.5571428571428572
12,2,0.0,0.0
13,6,0.27777777777777773,0.375
14,6,0.3333333333333333,0.5
15,9,0.5777777777777778,0.6724137931034483
16,4,0.8333333333333333,0.75
17,3,1.0,1.0
18,4,0.5833333333333333,0.6
19,3,0.0,0.0
20,2,0.0,0.0
21,3,0.0,0.0
22,3,0.0,0.0
23,3,1.0,1.0
24,2,0.0,0.0
25,2,0.0,0.0
26,5,0.7,0.8
27,2,0.0,0.0
28,4,0.5833333333333333,0.6
29,4,0.0,0.0
30,2,0.0,0.0
31,4,0.0,0.0
32,2,0.0,0.0
