cell,x,y,slice,radius
0,0,0,0,0
1,994,1781,1,149
2,3023,1901,1,129
3,2101,765,1,135
4,3387,3089,1,128
5,2976,1024,1,142
6,2528,1644,1,128
7,1396,1494,1,145
8,1818,3914,1,132
9,3049,4128,1,140
10,2111,1787,1,137
11,753,3261,1,128
12,3707,819,1,140
13,2544,4211,1,131
14,2769,3007,1,129
15,1159,2476,1,136
16,3227,1536,1,129
17,2211,3745,1,129
18,1759,2666,1,146
19,3254,1471,1,126
20,2467,1821,1,126
21,1597,2902,1,146
22,3827,1121,1,137
23,1285,2467,1,142
24,995,1828,1,150
25,2291,308,1,137
26,2409,2332,1,131
27,3361,1781,1,149
28,3502,1244,1,146
29,3695,2645,1,135
30,1148,1118,1,149
31,4132,2635,1,131
32,1880,2976,1,141
33,1838,3307,1,141
34,2158,2442,1,139
35,3681,1254,1,147
36,1146,4569,1,132
37,3423,4305,1,132
38,3069,3316,1,140
39,4139,2508,1,133
40,2349,515,1,141
41,71,2250,1,127
42,3084,3156,1,140
43,1962,3817,1,149
44,3087,1987,1,133
45,3958,1363,1,145
46,1691,3361,1,145
47,2251,1567,1,128
48,3111,1580,1,140
49,2670,3456,1,150
50,3329,3460,1,126
51,3127,1855,1,137
52,2431,1185,1,145
53,3219,3126,1,142
54,1158,2297,1,145
55,2581,2868,1,134
56,3503,2628,1,148
57,1861,2900,1,135
58,1407,4280,1,143
59,541,2286,1,127
60,297,1245,1,144
61,278,2020,1,138
62,698,3122,1,140
63,3778,1061,1,132
64,2875,439,1,131
65,4156,1777,1,138
66,950,1565,1,130
67,3808,2237,1,145
68,3574,2829,1,132
69,2562,1854,1,129
70,607,1370,1,149
71,576,2162,1,148
72,1744,2953,1,148
73,816,2228,1,127
74,2845,2924,1,141
75,257,3142,1,143
76,1353,553,1,137
77,3194,1384,1,133
78,2056,1551,1,148
79,1784,2070,1,133
80,1960,3459,1,135
81,1951,640,1,148
82,1702,1459,1,140
83,3066,1466,1,127
84,2438,2282,1,136
85,1190,2268,1,130
86,2416,1723,1,137
87,1028,2646,1,147
88,252,1476,1,127
89,2761,4639,1,140
90,2791,4419,1,127
91,1583,1692,1,146
92,1368,2153,1,140
93,2403,1268,1,133
94,68,2147,1,149
95,549,3262,1,144
96,970,4404,1,146
97,3627,2508,1,149
98,4168,2558,1,133
99,1885,1759,1,143
100,2610,270,1,132
101,2324,4937,1,148
102,3041,1330,1,139
103,1687,3499,1,130
104,3816,2361,1,132
105,2729,2998,1,149
106,2847,4108,1,143
107,3584,3527,1,150
108,2258,879,1,146
109,3985,3230,1,126
110,3983,3134,1,136
111,2573,2534,1,133
112,3159,3108,1,146
113,2102,1262,1,137
114,1358,1226,1,127
115,3848,1622,1,138
116,1699,3534,1,125
117,2263,4906,1,131
118,2627,1779,1,141
119,3885,1455,1,129
120,3251,2898,1,142
121,3970,3184,1,131
122,1134,2867,1,137
123,3031,706,1,138
124,1353,1964,1,149
125,2248,2324,1,133
126,3053,3861,1,146
127,1799,2570,1,145
128,2828,3482,1,129
129,2982,1565,1,131
130,2050,1248,1,138
131,2419,842,1,129
132,3500,1456,1,125
133,3488,4242,1,134
134,2368,4699,1,132
135,2004,3701,1,130
136,2743,4106,1,149
137,2626,4395,1,141
138,480,3239,1,147
139,1756,103,1,135
140,3371,1851,1,136
141,2783,270,1,148
142,225,3321,1,133
143,1909,3391,1,149
144,2723,805,1,136
145,3261,3928,1,138
146,3385,1576,1,140
147,1986,3714,1,145
148,3077,3751,1,145
149,1872,4270,1,137
150,2900,634,1,143
151,3253,2359,1,139
152,839,3609,1,148
153,1627,4334,1,126
154,1360,1099,1,150
155,1015,2418,1,135
156,4084,3449,1,128
157,2946,3436,1,142
158,2194,513,1,147
159,982,524,1,132
160,2389,4715,1,140
161,1616,4500,1,142
162,2203,1058,1,131
163,2747,3377,1,150
164,2997,1623,1,145
165,3708,1775,1,134
166,1619,1821,1,135
167,1277,3415,1,142
168,663,832,1,146
169,1105,3154,1,137
170,843,4085,1,135
171,2724,125,1,147
172,1055,2079,1,136
173,1463,2730,1,150
174,2012,402,1,135
175,2517,3861,1,127
176,354,1408,1,137
177,2221,693,1,126
178,3201,4274,1,142
179,826,752,1,125
180,2771,434,1,143
181,469,1758,1,144
182,1220,1005,1,134
183,3409,2650,1,134
184,3552,2658,1,142
185,3421,713,1,131
186,798,3774,1,142
187,2811,3648,1,126
188,2087,2814,1,146
189,2997,1824,1,143
190,2830,1012,1,141
191,3382,3749,1,131
192,1635,2358,1,126
193,3727,3116,1,145
194,3576,1842,1,140
195,3362,2617,1,145
196,1123,2138,1,131
197,1656,957,1,138
198,2818,390,1,147
199,1904,115,1,129
200,2069,74,1,137
201,1359,4614,1,131
202,1923,1613,1,142
203,369,2722,1,144
204,1812,276,1,140
205,521,1619,1,136
206,2615,2321,1,141
207,2345,161,1,138
208,2053,4918,1,125
209,3880,1217,1,133
210,3144,2217,1,150
211,3570,3382,1,138
212,1246,4544,1,150
213,612,1328,1,130
214,4069,1557,1,149
215,939,704,1,139
