node,degree,centrality,clustering
0,0.0,0.0,0.0
1,4.0,0.6666666666666666,0.8333333333333334
2,4.0,1.3333333333333333,0.8333333333333334
3,4.0,208.0,0.3333333333333333
4,1.0,0.0,0.0
5,5.0,0.5,0.9
6,1.0,0.0,0.0
7,5.0,546.2666666666668,0.5
8,2.0,106.0,0.0
9,7.0,120.0,0.42857142857142855
10,3.0,83.78095238095239,0.3333333333333333
11,6.0,490.0,0.4666666666666667
12,4.0,0.6666666666666666,0.8333333333333334
13,4.0,301.0,0.6666666666666666
14,2.0,60.0,0.0
15,6.0,788.5261904761903,0.5333333333333333
16,5.0,30.0,0.4
17,2.0,0.0,1.0
18,2.0,0.0,1.0
19,6.0,131.9999999999999,0.6
20,2.0,0.0,1.0
21,5.0,147.16904761904763,0.7
22,5.0,810.0,0.6
23,4.0,0.0,1.0
24,3.0,184.80476190476185,0.6666666666666666
25,2.0,0.0,1.0
26,3.0,152.0,0.0
27,3.0,0.0,1.0
28,1.0,0.0,0.0
29,3.0,329.6714285714286,0.3333333333333333
30,1.0,0.0,0.0
31,4.0,0.0,1.0
32,6.0,4.0,0.6666666666666666
33,5.0,423.6119047619047,0.7
34,3.0,106.0,0.3333333333333333
35,1.0,0.0,0.0
36,3.0,84.0,0.3333333333333333
37,3.0,14.0,0.3333333333333333
38,4.0,24.0,0.5
39,2.0,0.0,1.0
40,3.0,576.0,0.3333333333333333
41,6.0,490.5,0.6
42,1.0,0.0,0.0
43,4.0,0.0,1.0
44,2.0,0.0,1.0
45,5.0,343.89523809523814,0.4
46,5.0,400.0,0.6
47,5.0,15.0,0.7
48,4.0,0.0,1.0
49,4.0,0.0,1.0
50,3.0,0.0,1.0
51,5.0,0.5,0.9
52,3.0,106.0,0.3333333333333333
53,2.0,0.0,1.0
54,5.0,352.5,0.5
55,5.0,760.0666666666664,0.4
56,4.0,0.0,1.0
57,2.0,0.0,1.0
58,5.0,138.00000000000009,0.5
59,4.0,0.0,1.0
60,4.0,0.0,1.0
61,2.0,0.0,1.0
62,1.0,0.0,0.0
63,6.0,519.6904761904761,0.4666666666666667
64,3.0,120.0,0.3333333333333333
65,5.0,452.97142857142853,0.4
66,1.0,0.0,0.0
67,3.0,208.0,0.3333333333333333
68,5.0,1120.328571428571,0.2
69,4.0,0.0,1.0
70,3.0,306.0,0.3333333333333333
71,1.0,0.0,0.0
72,1.0,0.0,0.0
73,3.0,0.0,1.0
74,2.0,0.0,1.0
75,5.0,849.0238095238099,0.3
76,6.0,131.9999999999999,0.6
77,1.0,0.0,0.0
78,1.0,0.0,0.0
79,1.0,0.0,0.0
80,3.0,0.0,1.0
81,4.0,63.0,0.6666666666666666
82,5.0,147.16904761904763,0.7
83,3.0,144.0,0.3333333333333333
84,4.0,0.0,1.0
85,4.0,13.399999999999999,0.6666666666666666
86,5.0,0.5,0.9
87,5.0,1.3333333333333333,0.8
88,3.0,0.0,1.0
89,2.0,736.0,0.0
90,4.0,63.0,0.6666666666666666
91,2.0,14.0,0.0
92,5.0,185.23809523809527,0.7
93,6.0,4.0,0.6666666666666666
94,4.0,658.0,0.5
95,2.0,0.0,1.0
96,2.0,0.0,1.0
97,4.0,9.557142857142857,0.6666666666666666
98,2.0,0.0,1.0
99,4.0,0.0,1.0
100,5.0,448.8999999999999,0.5
101,2.0,32.0,0.0
102,6.0,424.42857142857156,0.3333333333333333
103,4.0,0.0,1.0
104,5.0,15.0,0.7
