comp,bumber of nodes,global clustering coefficient,transitivity
1,19,0.27192982456140347,0.3620689655172414
2,14,0.619047619047619,0.6226415094339622
3,7,0.680952380952381,0.6153846153846154
4,27,0.4851851851851852,0.5111111111111111
5,4,0.5833333333333333,0.6
6,9,0.588888888888889,0.6885245901639344
7,13,0.5230769230769231,0.5675675675675675
8,5,0.4666666666666666,0.5
9,8,0.31250000000000006,0.4090909090909091
10,9,0.5185185185185186,0.42857142857142855
11,2,0.0,0.0
12,2,0.0,0.0
13,12,0.19444444444444442,0.2
14,12,0.47222222222222215,0.40540540540540543
15,6,0.4444444444444444,0.5454545454545454
16,4,0.0,0.0
17,5,0.6,0.5454545454545454
18,4,1.0,1.0
19,2,0.0,0.0
20,7,0.5238095238095238,0.46153846153846156
21,4,0.5833333333333333,0.6
22,4,0.0,0.0
23,5,0.8666666666666666,0.7894736842105263
24,2,0.0,0.0
25,4,1.0,1.0
26,2,0.0,0.0
27,3,1.0,1.0
28,4,0.0,0.0
29,6,0.0,0.0
30,6,0.4166666666666667,0.46153846153846156
31,4,0.5833333333333333,0.6
32,7,0.738095238095238,0.5714285714285714
33,3,0.0,0.0
34,2,0.0,0.0
35,4,0.0,0.0
36,4,0.8333333333333333,0.75
37,3,0.0,0.0
38,4,1.0,1.0
39,2,0.0,0.0
40,2,0.0,0.0
41,2,0.0,0.0
42,2,0.0,0.0
43,5,1.0,1.0
44,2,0.0,0.0
45,2,0.0,0.0
