comp,bumber of nodes,global clustering coefficient,transitivity
1,2,0.0,0.0
2,2,0.0,0.0
3,10,0.3833333333333333,0.3333333333333333
4,9,0.25925925925925924,0.375
5,11,0.2121212121212121,0.21428571428571427
6,17,0.3431372549019608,0.4918032786885246
7,2,0.0,0.0
8,3,1.0,1.0
9,3,0.0,0.0
10,3,1.0,1.0
11,8,0.2708333333333333,0.25
12,6,0.36111111111111116,0.3333333333333333
13,3,0.0,0.0
14,3,0.0,0.0
15,4,0.8333333333333333,0.75
16,3,0.0,0.0
17,2,0.0,0.0
18,2,0.0,0.0
19,2,0.0,0.0
20,2,0.0,0.0
21,2,0.0,0.0
22,3,0.0,0.0
23,6,0.7777777777777777,0.6
24,2,0.0,0.0
25,3,0.0,0.0
26,2,0.0,0.0
27,2,0.0,0.0
28,2,0.0,0.0
