comp,bumber of nodes,global clustering coefficient,transitivity
1,6,0.5833333333333334,0.75
2,5,0.8666666666666666,0.6
3,3,0.0,0.0
4,7,0.2857142857142857,0.46153846153846156
5,11,0.4242424242424242,0.5555555555555556
6,4,0.5833333333333333,0.6
7,2,0.0,0.0
8,4,0.5833333333333334,0.6
9,3,1.0,1.0
10,2,0.0,0.0
11,2,0.0,0.0
12,2,0.0,0.0
13,3,0.0,0.0
14,6,0.38888888888888884,0.375
15,3,0.0,0.0
16,7,0.5238095238095238,0.5454545454545454
17,3,0.0,0.0
18,4,0.0,0.0
19,4,0.0,0.0
20,3,0.0,0.0
21,3,0.0,0.0
22,6,0.4166666666666667,0.46153846153846156
23,3,1.0,1.0
24,2,0.0,0.0
25,2,0.0,0.0
26,2,0.0,0.0
27,6,0.7222222222222222,0.6
28,2,0.0,0.0
29,2,0.0,0.0
30,2,0.0,0.0
31,2,0.0,0.0
32,4,0.0,0.0
33,3,1.0,1.0
