cell,x,y,slice,radius
0,0,0,0,0
1,3842,2873,1,133
2,2369,515,1,138
3,1468,577,1,125
4,3990,3462,1,147
5,266,2212,1,134
6,581,3624,1,150
7,1644,3385,1,144
8,1733,4371,1,145
9,723,3161,1,137
10,4080,1607,1,149
11,2345,3457,1,126
12,996,2647,1,135
13,2197,2658,1,127
14,1969,2286,1,144
15,2932,2181,1,130
16,2841,1915,1,150
17,2534,3800,1,137
18,294,2329,1,135
19,3990,2273,1,132
20,2448,4813,1,145
21,2443,2968,1,130
22,4155,2308,1,149
23,2729,444,1,139
24,4059,2542,1,149
25,2504,3082,1,132
26,1381,588,1,136
27,3409,3849,1,133
28,1565,4902,1,139
29,1164,4388,1,127
30,3651,3541,1,139
31,2831,3784,1,129
32,1293,2591,1,133
33,3860,2599,1,128
34,117,2603,1,131
35,2629,214,1,131
36,2875,2452,1,131
37,452,2638,1,134
38,3681,3421,1,135
39,2203,2583,1,125
40,2801,4431,1,132
41,3711,2038,1,143
42,4217,2794,1,138
43,106,2238,1,136
44,2642,2164,1,128
45,1175,3702,1,148
46,2691,4396,1,135
47,2589,2195,1,148
48,2602,1155,1,140
49,1255,2021,1,138
50,2536,887,1,148
51,3687,3878,1,137
52,3164,1537,1,136
53,746,4049,1,136
54,2587,4062,1,144
55,1328,2521,1,131
56,700,4170,1,142
57,2052,1499,1,146
58,1857,4317,1,143
59,1465,997,1,133
60,1189,2216,1,148
61,2765,3335,1,131
62,719,1195,1,134
63,3289,1641,1,130
64,3226,3455,1,129
65,3199,3088,1,147
66,2503,2968,1,130
67,2282,717,1,144
68,1986,1877,1,139
69,3250,423,1,131
70,367,2986,1,143
71,375,3186,1,139
72,3326,1334,1,128
73,419,3271,1,144
74,273,2273,1,125
75,2737,4717,1,138
76,1964,1383,1,145
77,798,4203,1,140
78,2066,783,1,131
79,2911,4550,1,150
80,3781,2322,1,132
81,1285,1610,1,140
82,2145,225,1,131
83,2796,3293,1,133
84,3933,2862,1,148
85,740,4356,1,149
86,2028,494,1,128
87,1419,3336,1,146
88,2854,3953,1,150
89,1968,808,1,145
90,1636,1239,1,134
91,3488,2021,1,148
92,3425,893,1,129
93,1730,887,1,133
94,3521,1211,1,137
95,2925,4159,1,136
96,921,1413,1,145
97,3605,933,1,137
98,939,2225,1,148
99,1551,3805,1,131
100,2811,3735,1,137
101,3728,3385,1,132
102,3208,1753,1,145
103,1154,4119,1,143
104,3225,2673,1,134
105,2189,2123,1,137
106,1644,2286,1,145
107,3118,489,1,142
108,663,1256,1,128
109,3170,3959,1,135
110,2271,1414,1,145
111,293,2220,1,131
112,1780,4245,1,133
113,1055,2166,1,130
114,3635,2595,1,146
115,3513,2105,1,134
116,389,2290,1,132
117,1533,2233,1,137
118,1993,1794,1,143
119,3006,2933,1,129
120,2329,550,1,140
121,928,2813,1,133
122,3324,2289,1,126
123,2099,47,1,132
124,2168,1478,1,137
125,3727,2896,1,133
126,2707,134,1,145
127,4060,2488,1,141
128,3169,1722,1,150
129,2701,3050,1,132
130,426,1278,1,140
131,3026,3324,1,140
132,3845,3795,1,144
133,3122,1246,1,143
134,1571,4045,1,141
135,577,2633,1,127
136,2843,4434,1,130
137,3603,2807,1,139
138,434,3527,1,129
139,1528,583,1,137
140,3299,2122,1,141
141,2013,3360,1,145
142,2119,2419,1,131
143,3446,4469,1,136
144,3306,3505,1,133
145,3545,2206,1,135
146,2342,2758,1,149
147,928,1046,1,148
148,4045,3464,1,132
149,3757,3949,1,145
150,3966,1534,1,138
151,3452,1930,1,137
152,1286,1510,1,137
153,1381,2850,1,129
154,3424,3335,1,144
155,2919,208,1,142
156,4092,1602,1,132
157,2384,4289,1,146
158,2438,846,1,140
159,1712,3849,1,145
160,1810,2304,1,138
161,2439,4591,1,135
162,2679,2130,1,140
163,2290,932,1,150
164,1599,2597,1,137
165,3047,3338,1,148
166,2361,1231,1,148
167,597,2818,1,146
168,1692,922,1,141
169,2889,1871,1,139
170,97,1819,1,149
171,603,3690,1,134
172,1934,1862,1,143
173,384,3689,1,128
174,3026,2479,1,147
175,2801,193,1,132
176,2723,1403,1,137
177,730,866,1,132
178,1139,1486,1,131
179,986,2087,1,138
180,1887,4480,1,139
181,1199,3070,1,139
182,2321,2122,1,130
183,656,2181,1,150
184,1805,2923,1,139
185,628,3361,1,142
186,844,925,1,143
187,3936,2441,1,144
188,2662,467,1,134
189,2810,3734,1,150
190,1785,4258,1,127
191,2528,4093,1,128
192,3055,415,1,146
193,1073,910,1,140
194,3873,3844,1,127
195,2247,3985,1,145
196,3375,3921,1,133
197,1087,712,1,129
198,1005,3407,1,133
199,825,1177,1,139
200,1460,4566,1,132
201,3585,4146,1,146
202,4222,1986,1,144
203,3300,3888,1,136
204,1984,2402,1,134
205,3940,1858,1,128
206,2560,2487,1,131
207,1495,4654,1,142
208,532,879,1,134
209,3403,2308,1,148
210,3907,1284,1,133
211,3299,4038,1,126
212,2951,3612,1,149
213,3028,1167,1,146
214,1246,1780,1,141
215,1170,2671,1,147
216,889,3644,1,125
217,2049,2105,1,146
218,1768,1474,1,147
219,2851,3672,1,135
220,1880,783,1,125
221,2205,950,1,134
222,3553,3906,1,150
223,3030,4204,1,128
224,4133,2751,1,141
225,3267,2089,1,144
226,2461,4401,1,128
227,2618,787,1,126
228,1485,1108,1,134
229,3711,3865,1,135
230,913,1547,1,135
231,2497,1674,1,143
232,2011,2238,1,145
233,1358,3823,1,139
234,1317,4667,1,150
235,2805,440,1,141
236,2971,4546,1,140
237,3820,2703,1,130
238,1182,1313,1,132
239,684,3294,1,130
240,1008,2626,1,139
241,880,4282,1,141
242,1382,4487,1,135
243,1107,2843,1,132
244,1374,1333,1,130
245,1419,1565,1,138
246,4041,2799,1,150
247,3429,2874,1,138
248,1989,4528,1,138
249,2911,1680,1,148
250,2649,1738,1,143
251,568,1975,1,143
252,316,1477,1,125
253,3094,3907,1,131
254,2563,4356,1,132
