cell,x,y,slice,radius
0,0,0,0,0
1,2229,3378,1,129
2,1142,2603,1,142
3,3831,3956,1,135
4,776,1023,1,127
5,352,2434,1,142
6,4134,1935,1,139
7,2006,45,1,140
8,1352,2952,1,129
9,2857,871,1,138
10,796,2354,1,138
11,1386,1578,1,129
12,1646,757,1,130
13,1387,4803,1,130
14,3996,1342,1,142
15,3203,3899,1,137
16,3738,1307,1,129
17,4136,3232,1,131
18,2262,2443,1,140
19,2379,4373,1,133
20,1812,4576,1,133
21,1859,3166,1,129
22,1036,3154,1,130
23,1770,3293,1,136
24,3527,4124,1,129
25,3552,2689,1,135
26,2081,2646,1,134
27,3522,3312,1,147
28,2649,3513,1,132
29,3463,4450,1,136
30,3276,3617,1,133
31,3797,3867,1,145
32,2547,556,1,146
33,2226,4190,1,137
34,2885,1056,1,137
35,1998,922,1,140
36,1211,3038,1,133
37,2222,4439,1,146
38,342,2390,1,134
39,393,1346,1,139
40,762,3499,1,126
41,2278,2023,1,145
42,2067,998,1,150
43,1216,2756,1,135
44,406,2221,1,127
45,4262,2036,1,145
46,2898,3041,1,135
47,2907,4232,1,136
48,2420,2123,1,134
49,876,1301,1,129
50,3053,4643,1,139
51,1792,4549,1,141
52,514,3229,1,127
53,3287,522,1,134
54,3146,493,1,132
55,1947,3306,1,144
56,2894,2132,1,149
57,1835,300,1,130
58,119,2720,1,141
59,1234,2521,1,133
60,3161,4486,1,150
61,581,3700,1,148
62,2697,3265,1,131
63,3303,881,1,136
64,3025,4272,1,141
65,2041,4191,1,135
66,995,3320,1,138
67,738,1697,1,134
68,3064,3360,1,148
69,1509,3580,1,132
70,732,4116,1,144
71,186,2515,1,129
72,3559,680,1,139
73,1588,2019,1,131
74,2586,1546,1,140
75,2696,2396,1,128
76,2341,4863,1,130
77,3299,1020,1,148
78,2051,4152,1,145
79,702,851,1,136
80,2340,4303,1,128
81,3660,2899,1,131
82,4285,2275,1,133
83,3293,1403,1,128
84,1864,485,1,146
85,3906,1954,1,146
86,416,3707,1,144
87,755,4358,1,133
88,3655,3108,1,143
89,282,1405,1,133
90,2753,772,1,136
91,750,4000,1,145
92,856,3867,1,150
93,1438,1269,1,143
94,2440,2402,1,137
95,2403,2591,1,125
96,3743,1494,1,149
97,3827,1956,1,140
98,3944,3784,1,133
99,1683,328,1,144
100,1607,3957,1,150
101,804,867,1,127
102,3047,812,1,126
103,3184,1025,1,139
104,2795,3647,1,142
105,1875,4859,1,139
106,3140,1775,1,136
107,1644,649,1,138
108,2437,640,1,129
109,2274,2736,1,145
110,1158,1015,1,148
111,2711,4711,1,130
112,465,2093,1,130
113,2509,1875,1,149
114,163,1656,1,140
115,3717,1253,1,136
116,1598,979,1,138
117,3128,831,1,150
118,1773,2872,1,141
119,2360,3515,1,147
120,3743,2739,1,146
121,3796,3263,1,143
122,991,3106,1,150
123,2465,1618,1,125
124,253,1402,1,129
125,1609,3442,1,148
126,2770,3493,1,128
127,2586,2353,1,129
128,2213,2637,1,132
129,589,3864,1,130
130,2586,1501,1,133
131,1592,1923,1,138
132,3437,2250,1,148
133,795,2585,1,141
134,2735,3089,1,137
135,2131,3129,1,147
136,2613,339,1,133
137,1512,3759,1,140
138,1640,644,1,137
139,1217,2407,1,142
140,931,3267,1,136
141,2181,3982,1,128
142,3021,3821,1,133
143,1923,3362,1,135
144,3146,3183,1,135
145,2254,3468,1,126
146,1086,1988,1,146
147,1746,3179,1,134
148,1998,69,1,142
149,349,2579,1,150
150,1050,3296,1,132
151,2113,3180,1,142
152,784,1195,1,139
153,806,3979,1,130
154,1653,3802,1,126
155,1812,2184,1,150
156,685,3160,1,130
157,2368,3431,1,145
158,1013,4281,1,136
159,1598,1454,1,129
160,2725,2042,1,133
161,1660,859,1,128
162,3130,3634,1,137
163,2132,4430,1,143
164,1151,2940,1,149
165,1191,2869,1,126
166,565,2035,1,128
167,1866,780,1,129
168,1400,738,1,133
169,929,3377,1,149
170,1917,3799,1,130
171,1248,417,1,137
172,3056,3761,1,146
173,176,2954,1,135
174,3766,4148,1,146
175,1424,2788,1,144
176,3838,3370,1,143
177,4237,2792,1,141
178,2056,4353,1,127
179,1049,3538,1,145
180,2492,4180,1,127
181,2475,3297,1,141
182,2099,1359,1,135
183,2922,937,1,139
184,3985,2253,1,146
185,561,2230,1,137
186,1613,3117,1,135
187,1385,1468,1,128
188,3649,1374,1,148
189,226,2551,1,132
190,3781,2785,1,128
191,1904,2974,1,149
192,2082,3822,1,134
193,2913,2490,1,148
194,3298,3944,1,135
195,1747,3348,1,130
196,2626,1282,1,144
197,57,2377,1,129
198,4145,1937,1,132
199,1290,3925,1,144
200,1132,4278,1,141
201,3191,3462,1,147
202,568,1060,1,142
203,1394,3508,1,130
204,1529,3922,1,126
205,3932,1443,1,136
206,255,3581,1,145
207,3497,4048,1,147
208,1081,3578,1,145
209,4165,1856,1,129
210,3053,1614,1,149
211,1558,2115,1,139
212,2313,2123,1,129
213,946,3669,1,150
214,959,3284,1,131
215,2014,356,1,125
216,1481,4486,1,137
217,4115,3125,1,148
218,957,1305,1,125
219,548,3223,1,133
220,3515,2177,1,126
221,3918,1867,1,129
222,3201,3691,1,129
223,1973,1054,1,139
