cell,x,y,slice,radius
0,0,0,0,0
1,3956,3479,1,144
2,232,2710,1,134
3,2788,4875,1,137
4,517,3922,1,134
5,3933,3227,1,134
6,2325,1006,1,150
7,2068,3770,1,143
8,3574,1860,1,127
9,1189,1666,1,133
10,1087,3653,1,147
11,2502,898,1,133
12,3390,3785,1,146
13,1266,4105,1,126
14,2663,4743,1,139
15,1224,4451,1,136
16,1402,1667,1,146
17,1187,2628,1,138
18,3233,3530,1,150
19,193,1922,1,149
20,1902,987,1,130
21,3881,3213,1,150
22,2283,1851,1,132
23,1461,3712,1,126
24,395,3859,1,128
25,3327,2917,1,125
26,2357,1513,1,142
27,3609,3935,1,149
28,378,2412,1,137
29,1000,3362,1,148
30,1403,3730,1,144
31,1093,2596,1,148
32,416,2494,1,145
33,2378,2512,1,147
34,3087,4031,1,141
35,2117,3458,1,137
36,3122,318,1,144
37,3797,1482,1,148
38,1427,4839,1,140
39,1774,1930,1,146
40,180,3166,1,134
41,3864,3513,1,137
42,3162,1418,1,142
43,1775,4385,1,145
44,2579,3679,1,147
45,2000,3238,1,139
46,2371,1645,1,146
47,2377,4867,1,135
48,3043,4067,1,142
49,3065,3725,1,134
50,3669,1666,1,126
51,3073,267,1,144
52,565,1351,1,138
53,4122,3313,1,144
54,3391,3794,1,141
55,1705,2328,1,127
56,2349,3414,1,130
57,4047,2860,1,138
58,2296,2249,1,138
59,1365,4405,1,136
60,2767,4143,1,143
61,2181,3514,1,126
62,910,2707,1,136
63,205,3031,1,150
64,688,3898,1,147
65,3508,4258,1,136
66,2813,2762,1,131
67,2103,4951,1,133
68,2617,2702,1,126
69,1536,1927,1,137
70,1475,3904,1,143
71,908,1688,1,131
72,3736,2014,1,148
73,3663,3426,1,132
74,2311,3865,1,128
75,1762,501,1,131
76,1377,1671,1,143
77,2682,121,1,148
78,2147,1577,1,135
79,3124,859,1,145
80,2755,2155,1,144
81,3516,4281,1,142
82,2931,1001,1,136
83,974,3012,1,131
84,753,3732,1,143
85,3173,633,1,145
86,3761,3488,1,135
87,1399,579,1,127
88,709,1044,1,125
89,1607,3736,1,144
90,595,3341,1,127
91,2224,4546,1,141
92,1045,4111,1,128
93,684,2669,1,134
94,2445,415,1,127
95,3100,1475,1,129
96,3804,1706,1,149
97,3070,3648,1,150
98,3748,3338,1,129
99,1014,2816,1,138
100,516,3292,1,144
101,2393,852,1,127
102,2828,729,1,142
103,1736,1153,1,144
104,1507,1084,1,129
105,1327,189,1,149
106,3273,2587,1,147
107,2347,4526,1,140
108,1939,997,1,127
109,3384,4064,1,139
110,1663,1936,1,144
111,2263,4096,1,130
112,2708,1156,1,147
113,1674,1144,1,132
114,3354,1844,1,136
115,1808,128,1,147
116,3909,3433,1,148
117,3933,1978,1,132
118,1918,580,1,148
119,823,3113,1,125
120,4118,2123,1,131
121,3235,4474,1,128
122,1636,2234,1,130
123,927,4534,1,140
124,1855,3124,1,139
125,479,3261,1,144
126,2841,4263,1,144
127,842,4246,1,129
128,2144,2477,1,133
129,1022,4090,1,135
130,2866,4341,1,138
131,3152,1199,1,125
132,1856,1764,1,133
133,214,2875,1,137
134,779,963,1,141
135,1931,417,1,145
136,3721,1455,1,129
137,3075,673,1,150
138,1186,4701,1,146
139,1842,567,1,131
