comp,bumber of nodes,global clustering coefficient,transitivity
1,3,1.0,1.0
2,4,0.5833333333333333,0.6
3,7,0.8095238095238094,0.9230769230769231
4,2,0.0,0.0
5,4,0.5833333333333333,0.6
6,2,0.0,0.0
7,9,0.6185185185185185,0.6176470588235294
8,8,0.29166666666666663,0.3333333333333333
9,10,0.3333333333333333,0.375
10,2,0.0,0.0
11,2,0.0,0.0
12,8,0.6208333333333333,0.48
13,4,0.5833333333333333,0.6
14,2,0.0,0.0
15,2,0.0,0.0
16,6,0.7777777777777777,0.6
17,2,0.0,0.0
18,5,0.0,0.0
19,4,0.8333333333333333,0.75
20,2,0.0,0.0
21,4,0.5833333333333333,0.6
22,3,0.0,0.0
23,3,0.0,0.0
24,2,0.0,0.0
25,2,0.0,0.0
26,5,0.7666666666666666,0.6428571428571429
27,3,1.0,1.0
28,5,0.0,0.0
29,4,0.0,0.0
30,4,0.5833333333333334,0.6
31,3,1.0,1.0
32,3,1.0,1.0
33,3,0.0,0.0
34,2,0.0,0.0
35,7,0.23809523809523808,0.3
36,3,0.0,0.0
37,3,0.0,0.0
38,2,0.0,0.0
39,2,0.0,0.0
40,4,0.8333333333333333,0.75
41,2,0.0,0.0
42,4,0.0,0.0
43,5,0.5333333333333333,0.6
44,6,0.0,0.0
45,2,0.0,0.0
46,4,0.8333333333333333,0.75
47,5,0.5333333333333333,0.6
48,3,1.0,1.0
49,14,0.4642857142857143,0.5217391304347826
50,2,0.0,0.0
51,6,0.38888888888888884,0.375
52,4,1.0,1.0
53,4,0.5833333333333333,0.6
54,5,0.0,0.0
55,3,1.0,1.0
56,2,0.0,0.0
57,5,0.3333333333333333,0.3333333333333333
58,4,0.5833333333333333,0.6
59,2,0.0,0.0
60,3,0.0,0.0
61,2,0.0,0.0
62,2,0.0,0.0
63,6,0.36111111111111116,0.3333333333333333
64,2,0.0,0.0
65,2,0.0,0.0
66,5,0.0,0.0
67,3,1.0,1.0
68,3,1.0,1.0
69,2,0.0,0.0
70,2,0.0,0.0
71,4,0.8333333333333333,0.75
72,2,0.0,0.0
73,2,0.0,0.0
74,8,0.20833333333333331,0.25
75,4,0.5833333333333334,0.6
76,3,1.0,1.0
77,3,0.0,0.0
78,2,0.0,0.0
79,4,0.0,0.0
80,2,0.0,0.0
81,2,0.0,0.0
82,2,0.0,0.0
83,2,0.0,0.0
84,2,0.0,0.0
85,2,0.0,0.0
86,4,0.5833333333333333,0.6
87,2,0.0,0.0
88,4,1.0,1.0
89,2,0.0,0.0
90,2,0.0,0.0
91,5,0.5333333333333333,0.6
92,9,0.2962962962962963,0.42857142857142855
93,2,0.0,0.0
94,3,0.0,0.0
95,2,0.0,0.0
96,3,0.0,0.0
97,2,0.0,0.0
98,2,0.0,0.0
99,2,0.0,0.0
100,3,1.0,1.0
101,2,0.0,0.0
102,2,0.0,0.0
103,2,0.0,0.0
104,2,0.0,0.0
105,2,0.0,0.0
106,2,0.0,0.0
107,2,0.0,0.0
108,2,0.0,0.0
109,2,0.0,0.0
110,2,0.0,0.0
111,2,0.0,0.0
112,2,0.0,0.0
113,2,0.0,0.0
114,2,0.0,0.0
115,2,0.0,0.0
116,2,0.0,0.0
117,2,0.0,0.0
