node,degree,centrality,clustering
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,1.0,0.0,0.0
3,1.0,0.0,0.0
4,2.0,2.0,0.0
5,1.0,0.0,0.0
6,3.0,14.0,0.0
7,1.0,0.0,0.0
8,2.0,2.0,0.0
9,2.0,0.0,1.0
10,2.0,0.0,1.0
11,3.0,1.0,0.6666666666666666
12,1.0,0.0,0.0
13,1.0,0.0,0.0
14,1.0,0.0,0.0
15,1.0,0.0,0.0
16,3.0,0.0,1.0
17,1.0,0.0,0.0
18,2.0,0.0,1.0
19,0.0,0.0,0.0
20,4.0,10.0,0.6666666666666666
21,2.0,0.0,1.0
22,1.0,0.0,0.0
23,1.0,0.0,0.0
24,1.0,0.0,0.0
25,3.0,36.0,0.3333333333333333
26,1.0,0.0,0.0
27,4.0,17.33333333333333,0.5
28,3.0,1.0,0.6666666666666666
29,0.0,0.0,0.0
30,1.0,0.0,0.0
31,1.0,0.0,0.0
32,2.0,0.0,1.0
33,1.0,0.0,0.0
34,1.0,0.0,0.0
35,0.0,0.0,0.0
36,2.0,0.0,1.0
37,0.0,0.0,0.0
38,1.0,0.0,0.0
39,1.0,0.0,0.0
40,1.0,0.0,0.0
41,5.0,20.666666666666664,0.6
42,1.0,0.0,0.0
43,2.0,0.0,1.0
44,3.0,16.0,0.3333333333333333
45,0.0,0.0,0.0
46,1.0,0.0,0.0
47,1.0,0.0,0.0
48,0.0,0.0,0.0
49,1.0,0.0,0.0
50,3.0,4.0,0.6666666666666666
51,2.0,4.0,0.0
52,1.0,0.0,0.0
53,0.0,0.0,0.0
54,3.0,4.0,0.3333333333333333
55,1.0,0.0,0.0
56,2.0,0.0,1.0
57,0.0,0.0,0.0
58,2.0,10.0,0.0
59,3.0,4.0,0.6666666666666666
60,2.0,0.0,1.0
61,0.0,0.0,0.0
62,3.0,0.0,1.0
63,2.0,0.0,1.0
64,5.0,19.0,0.3
65,2.0,4.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,1.0,0.0,0.0
69,1.0,0.0,0.0
70,1.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,1.0,0.0,0.0
74,2.0,6.0,0.0
75,1.0,0.0,0.0
76,2.0,4.0,0.0
77,0.0,0.0,0.0
78,1.0,0.0,0.0
79,0.0,0.0,0.0
80,2.0,4.0,0.0
81,3.0,7.0,0.3333333333333333
82,2.0,0.0,1.0
83,2.0,16.0,0.0
84,1.0,0.0,0.0
85,1.0,0.0,0.0
86,1.0,0.0,0.0
87,1.0,0.0,0.0
88,2.0,0.0,1.0
89,3.0,0.0,1.0
90,0.0,0.0,0.0
91,1.0,0.0,0.0
92,3.0,1.0,0.6666666666666666
93,1.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,2.0,0.0,1.0
97,2.0,0.0,1.0
98,0.0,0.0,0.0
99,2.0,5.999999999999999,0.0
100,4.0,0.6666666666666666,0.8333333333333334
101,0.0,0.0,0.0
102,1.0,0.0,0.0
103,2.0,2.0,0.0
104,3.0,0.0,1.0
105,2.0,0.0,1.0
106,1.0,0.0,0.0
107,2.0,2.0,0.0
108,0.0,0.0,0.0
109,1.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,1.0,0.0,0.0
114,1.0,0.0,0.0
115,0.0,0.0,0.0
116,1.0,0.0,0.0
117,2.0,0.0,1.0
118,2.0,0.0,1.0
119,1.0,0.0,0.0
120,1.0,0.0,0.0
121,0.0,0.0,0.0
122,2.0,0.0,1.0
123,1.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,1.0,0.0,0.0
127,1.0,0.0,0.0
128,2.0,2.0,0.0
129,1.0,0.0,0.0
130,2.0,0.0,1.0
131,1.0,0.0,0.0
132,1.0,0.0,0.0
133,0.0,0.0,0.0
134,1.0,0.0,0.0
135,3.0,7.666666666666663,0.6666666666666666
136,3.0,4.0,0.3333333333333333
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,1.0,0.0,0.0
140,2.0,10.0,0.0
141,0.0,0.0,0.0
142,1.0,0.0,0.0
143,1.0,0.0,0.0
144,1.0,0.0,0.0
145,3.0,3.0,0.6666666666666666
146,1.0,0.0,0.0
147,1.0,0.0,0.0
148,1.0,0.0,0.0
149,1.0,0.0,0.0
150,1.0,0.0,0.0
151,3.0,0.0,1.0
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,1.0,0.0,0.0
155,1.0,0.0,0.0
156,0.0,0.0,0.0
157,2.0,0.0,1.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,4.0,0.6666666666666666,0.8333333333333334
162,1.0,0.0,0.0
163,1.0,0.0,0.0
164,0.0,0.0,0.0
165,2.0,0.0,1.0
166,1.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,2.0,4.0,0.0
170,1.0,0.0,0.0
171,0.0,0.0,0.0
172,1.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,1.0,0.0,0.0
176,1.0,0.0,0.0
177,1.0,0.0,0.0
178,3.0,6.0,0.6666666666666666
179,0.0,0.0,0.0
180,1.0,0.0,0.0
181,2.0,2.0,0.0
182,0.0,0.0,0.0
183,1.0,0.0,0.0
184,1.0,0.0,0.0
185,1.0,0.0,0.0
186,4.0,0.0,1.0
187,0.0,0.0,0.0
188,1.0,0.0,0.0
189,2.0,0.0,1.0
190,0.0,0.0,0.0
191,1.0,0.0,0.0
192,0.0,0.0,0.0
193,2.0,0.0,1.0
194,3.0,10.0,0.3333333333333333
195,2.0,0.0,1.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,1.0,0.0,0.0
199,4.0,10.0,0.5
