cell,x,y,slice,radius
0,0,0,0,0
1,1847,481,1,144
2,1028,4629,1,125
3,2210,2297,1,127
4,2143,901,1,138
5,1482,2978,1,130
6,2146,3497,1,130
7,906,2389,1,145
8,2299,399,1,125
9,2424,3005,1,134
10,2333,791,1,143
11,362,3225,1,125
12,495,1506,1,146
13,528,4130,1,142
14,885,1250,1,130
15,1274,3226,1,147
16,809,940,1,136
17,1412,592,1,141
18,3086,919,1,131
19,1757,4076,1,137
20,161,1710,1,128
21,183,3012,1,135
22,2111,4459,1,126
23,698,3172,1,135
24,1309,4642,1,140
25,992,2308,1,129
26,198,1619,1,143
27,1745,3271,1,138
28,2408,929,1,133
29,2744,763,1,131
30,2621,2697,1,140
31,1963,3909,1,128
32,2434,2484,1,148
33,1664,3119,1,135
34,533,3706,1,125
35,388,1854,1,128
36,604,3919,1,143
37,1402,210,1,148
38,709,696,1,149
39,2851,1148,1,148
40,2019,1384,1,138
41,1473,3711,1,128
42,2149,2914,1,144
43,829,1901,1,134
44,289,3773,1,125
45,2810,2225,1,147
46,2933,2464,1,150
47,870,2999,1,145
48,2432,3219,1,135
49,2196,4047,1,139
50,3199,1118,1,146
51,2450,4517,1,125
52,1988,699,1,148
53,2562,4281,1,125
54,2307,1058,1,141
55,2683,3645,1,150
56,903,1836,1,133
57,1613,221,1,125
58,2522,2780,1,132
59,760,1596,1,136
60,2106,559,1,141
61,1903,1655,1,146
62,1255,3108,1,150
63,1729,1602,1,146
64,2133,1209,1,126
65,1315,4598,1,135
66,1160,1327,1,132
67,2980,974,1,136
68,1392,3580,1,134
69,1239,3881,1,148
70,3087,2220,1,132
71,2450,564,1,130
72,183,2756,1,140
73,2388,4775,1,136
74,3066,1187,1,125
75,2328,1170,1,137
76,425,1132,1,147
77,2972,2371,1,127
78,2212,2231,1,130
79,798,1624,1,138
80,1771,2503,1,137
81,396,2068,1,149
82,966,1325,1,126
83,1631,1496,1,129
84,2413,3298,1,139
85,1537,4098,1,139
86,1890,2300,1,149
87,1222,1247,1,133
88,1300,3996,1,132
89,1773,2464,1,149
90,1010,2246,1,134
91,988,2781,1,137
92,821,2718,1,137
93,969,1768,1,135
94,2036,1463,1,126
95,3205,1342,1,130
96,3054,2388,1,137
97,2969,2829,1,139
98,3031,1473,1,146
99,583,1982,1,139
100,1339,2586,1,147
101,1304,2962,1,141
102,2821,1618,1,136
103,1547,2251,1,130
104,1996,4868,1,141
105,1525,4888,1,136
106,2716,4467,1,128
107,789,1621,1,140
108,1243,4426,1,127
109,2317,541,1,144
110,2800,3957,1,135
111,1996,1287,1,128
112,3022,4058,1,146
113,1160,3022,1,147
114,1650,702,1,129
115,3458,2024,1,148
116,3044,4122,1,137
117,1888,194,1,147
118,1689,4894,1,131
119,1704,4381,1,125
120,1797,180,1,138
121,2285,4243,1,129
122,2214,4468,1,138
123,1059,2447,1,135
124,2585,2234,1,134
125,466,2879,1,148
126,1313,2994,1,150
127,2487,537,1,136
128,597,1380,1,133
129,1435,1796,1,144
130,2762,4054,1,135
131,1510,3527,1,130
132,2463,4483,1,144
133,1639,4204,1,140
134,2067,2685,1,133
135,954,2183,1,142
136,1124,1471,1,138
137,811,3645,1,143
138,1773,776,1,127
139,1977,3990,1,143
140,2260,148,1,139
141,1484,54,1,126
142,3056,3075,1,128
143,3170,1289,1,136
144,970,1072,1,129
145,1716,4244,1,126
146,2365,351,1,144
147,1193,4363,1,130
148,781,4109,1,139
149,1453,3714,1,131
150,2506,1764,1,134
151,285,1418,1,127
152,2098,345,1,148
153,2670,1445,1,130
154,2875,2720,1,147
155,1087,1937,1,150
156,648,1990,1,149
157,2537,2853,1,138
158,3076,4049,1,129
159,2323,181,1,137
160,2880,1989,1,133
161,2111,2468,1,145
162,2553,928,1,130
163,766,3736,1,136
164,2625,332,1,142
165,2031,671,1,128
166,2015,153,1,150
167,2150,3949,1,146
168,223,3633,1,138
169,3100,2423,1,137
170,603,1479,1,137
171,1814,3938,1,139
172,3171,935,1,130
173,1621,4642,1,128
174,249,2891,1,143
175,217,2381,1,127
176,3266,1815,1,133
177,1472,3156,1,139
178,1082,648,1,138
179,2556,4288,1,147
180,2833,3411,1,128
181,1309,3505,1,135
182,2870,3392,1,137
183,2260,894,1,150
184,1634,3345,1,130
185,713,4407,1,129
186,3286,3513,1,138
187,2001,2296,1,128
188,1904,1846,1,129
189,2634,4600,1,141
190,2830,721,1,142
191,2306,1779,1,148
192,880,3766,1,127
193,2069,4639,1,139
194,3442,1653,1,133
195,1551,4819,1,126
196,1264,2789,1,142
197,1888,3354,1,135
198,2916,2518,1,145
199,1985,334,1,143
200,3391,3223,1,135
201,2188,3707,1,130
202,1438,3167,1,133
203,1438,2816,1,143
204,2608,3780,1,133
205,2758,3154,1,131
206,523,2828,1,139
207,276,1425,1,137
208,1348,2614,1,135
209,1487,2359,1,149
210,511,1421,1,134
211,577,2602,1,143
212,1846,4451,1,133
213,3453,2880,1,131
214,1593,577,1,125
215,2213,366,1,135
216,204,1766,1,146
217,1099,845,1,142
218,1875,753,1,140
219,2807,555,1,142
220,1592,3008,1,146
221,1829,3917,1,126
222,2254,4570,1,146
223,109,2268,1,132
224,842,2221,1,126
225,2049,4513,1,126
226,1328,589,1,139
227,2723,3714,1,145
228,1181,1771,1,145
229,2520,4662,1,134
230,583,2316,1,146
231,3186,1981,1,142
232,2957,1187,1,143
233,708,2681,1,143
234,3024,927,1,141
235,1943,3507,1,138
236,1028,3263,1,143
237,848,3492,1,129
238,2625,2541,1,130
239,1698,1332,1,130
240,704,3281,1,144
241,2385,3094,1,128
242,1267,2689,1,133
243,709,3583,1,142
244,2303,1839,1,126
245,2974,789,1,144
246,2806,3306,1,125
247,2024,833,1,135
248,1177,830,1,132
249,1458,3832,1,146
250,886,2155,1,139
251,1533,4423,1,146
252,1536,1755,1,126
253,2172,3701,1,129
254,3302,1703,1,142
255,1399,1332,1,126
256,567,4139,1,149
257,2278,254,1,135
258,782,1398,1,138
259,973,1899,1,137
260,1051,3396,1,134
261,2724,2565,1,149
262,896,479,1,138
263,840,3911,1,134
264,1500,4319,1,138
265,1227,4605,1,142
266,800,3556,1,143
267,1110,4312,1,139
268,2597,1817,1,137
269,2043,940,1,144
270,2212,2382,1,141
271,1012,413,1,147
272,1992,4234,1,139
273,3417,2098,1,139
274,1828,2837,1,141
275,2058,3571,1,140
276,1394,3602,1,146
277,2599,3902,1,149
278,740,3189,1,138
279,2388,3799,1,130
280,619,4143,1,150
281,3535,2492,1,149
282,548,1730,1,132
283,3107,3688,1,149
284,3117,1348,1,129
285,1644,1853,1,135
286,2405,497,1,139
287,1321,2783,1,145
288,2758,3317,1,144
289,2549,2938,1,139
290,2579,2668,1,147
291,1248,3274,1,142
292,580,4249,1,126
293,2509,4708,1,146
294,2946,1595,1,142
295,1889,3965,1,143
296,1469,2308,1,137
297,2429,1446,1,149
298,1820,1994,1,135
299,3012,2067,1,141
300,3085,3994,1,127
301,999,3981,1,149
302,486,1039,1,142
303,1652,4514,1,126
304,1281,437,1,140
305,2082,2087,1,130
306,3193,3649,1,125
307,2969,627,1,144
308,1555,3389,1,139
309,772,3396,1,128
310,1926,2383,1,150
311,1986,4050,1,132
312,3230,3648,1,125
313,2605,2013,1,147
314,73,3099,1,145
315,2080,4812,1,146
316,2784,2695,1,126
317,2713,1422,1,127
318,1800,3076,1,132
319,1508,1317,1,140
320,1246,1571,1,128
321,2470,3034,1,150
322,2564,1270,1,142
323,1832,3426,1,142
324,1597,1806,1,135
325,839,4217,1,148
326,1586,2091,1,138
327,2093,3797,1,142
328,343,3367,1,128
329,2447,4432,1,136
330,989,4218,1,136
331,1495,4459,1,137
332,1707,3787,1,136
333,1655,3778,1,131
334,1486,1783,1,143
335,676,2578,1,144
336,1246,1397,1,137
337,67,2297,1,134
338,1611,4920,1,150
339,1986,1193,1,145
340,1005,1846,1,132
341,2066,2831,1,128
342,2093,126,1,127
343,886,2835,1,134
344,1969,2747,1,135
345,2290,1597,1,137
346,2887,1124,1,132
347,1788,554,1,148
348,2502,3103,1,134
349,2303,224,1,136
350,2910,1047,1,125
351,1100,2418,1,149
352,2936,746,1,143
353,3472,2643,1,129
354,1350,1821,1,126
355,119,1693,1,138
356,2619,4261,1,137
357,3426,3140,1,138
358,787,1099,1,125
359,2381,2906,1,130
360,3399,2550,1,150
361,2924,3094,1,150
362,2121,4069,1,147
363,1576,227,1,148
364,389,3312,1,138
365,2105,841,1,136
366,2933,979,1,145
367,3185,1269,1,131
