node,degree,centrality,clustering
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,2.0,0.0,1.0
3,2.0,24.0,0.0
4,2.0,0.0,1.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,1.0,0.0,0.0
10,1.0,0.0,0.0
11,2.0,0.0,1.0
12,1.0,0.0,0.0
13,3.0,0.0,1.0
14,1.0,0.0,0.0
15,2.0,0.0,1.0
16,1.0,0.0,0.0
17,1.0,0.0,0.0
18,0.0,0.0,0.0
19,1.0,0.0,0.0
20,1.0,0.0,0.0
21,2.0,4.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,1.0,0.0,0.0
25,2.0,0.0,1.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,1.0,0.0,0.0
29,1.0,0.0,0.0
30,3.0,1.0,0.6666666666666666
31,4.0,5.0,0.5
32,2.0,0.0,1.0
33,2.0,0.0,1.0
34,2.0,4.0,0.0
35,0.0,0.0,0.0
36,2.0,0.0,1.0
37,1.0,0.0,0.0
38,0.0,0.0,0.0
39,1.0,0.0,0.0
40,2.0,2.0,0.0
41,0.0,0.0,0.0
42,3.0,0.0,1.0
43,1.0,0.0,0.0
44,1.0,0.0,0.0
45,1.0,0.0,0.0
46,2.0,0.0,1.0
47,1.0,0.0,0.0
48,1.0,0.0,0.0
49,1.0,0.0,0.0
50,1.0,0.0,0.0
51,1.0,0.0,0.0
52,2.0,0.0,1.0
53,1.0,0.0,0.0
54,1.0,0.0,0.0
55,1.0,0.0,0.0
56,3.0,20.0,0.3333333333333333
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,2.0,0.0,1.0
60,3.0,12.0,0.3333333333333333
61,3.0,4.0,0.3333333333333333
62,1.0,0.0,0.0
63,0.0,0.0,0.0
64,2.0,0.0,1.0
65,0.0,0.0,0.0
66,1.0,0.0,0.0
67,1.0,0.0,0.0
68,1.0,0.0,0.0
69,0.0,0.0,0.0
70,1.0,0.0,0.0
71,2.0,0.0,1.0
72,0.0,0.0,0.0
73,3.0,0.0,1.0
74,0.0,0.0,0.0
75,1.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,3.0,1.0,0.6666666666666666
81,1.0,0.0,0.0
82,0.0,0.0,0.0
83,4.0,10.0,0.5
84,2.0,0.0,1.0
85,2.0,0.0,1.0
86,4.0,5.0,0.5
87,1.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,1.0,0.0,0.0
91,1.0,0.0,0.0
92,0.0,0.0,0.0
93,2.0,4.0,0.0
94,0.0,0.0,0.0
95,2.0,8.0,0.0
96,1.0,0.0,0.0
97,1.0,0.0,0.0
98,0.0,0.0,0.0
99,1.0,0.0,0.0
100,0.0,0.0,0.0
101,4.0,3.0,0.6666666666666666
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,1.0,0.0,0.0
105,1.0,0.0,0.0
106,0.0,0.0,0.0
107,2.0,0.0,1.0
108,5.0,8.0,0.5
109,0.0,0.0,0.0
110,1.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,1.0,0.0,0.0
114,2.0,0.0,1.0
115,1.0,0.0,0.0
116,1.0,0.0,0.0
117,0.0,0.0,0.0
118,1.0,0.0,0.0
119,2.0,4.0,0.0
120,1.0,0.0,0.0
121,1.0,0.0,0.0
122,1.0,0.0,0.0
123,1.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,1.0,0.0,0.0
127,1.0,0.0,0.0
128,1.0,0.0,0.0
129,2.0,0.0,1.0
130,3.0,8.0,0.3333333333333333
131,1.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,2.0,4.0,0.0
136,1.0,0.0,0.0
137,4.0,24.0,0.5
138,2.0,4.0,0.0
139,1.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,2.0,0.0,1.0
143,2.0,0.0,1.0
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,1.0,0.0,0.0
148,0.0,0.0,0.0
149,1.0,0.0,0.0
150,0.0,0.0,0.0
151,1.0,0.0,0.0
152,1.0,0.0,0.0
153,0.0,0.0,0.0
154,1.0,0.0,0.0
155,2.0,2.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,2.0,0.0,1.0
159,1.0,0.0,0.0
160,1.0,0.0,0.0
161,0.0,0.0,0.0
162,1.0,0.0,0.0
163,1.0,0.0,0.0
164,1.0,0.0,0.0
165,1.0,0.0,0.0
166,2.0,2.0,0.0
167,2.0,0.0,1.0
168,1.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,1.0,0.0,0.0
172,2.0,0.0,1.0
173,2.0,0.0,1.0
174,0.0,0.0,0.0
175,1.0,0.0,0.0
176,0.0,0.0,0.0
177,1.0,0.0,0.0
178,1.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,1.0,0.0,0.0
182,1.0,0.0,0.0
183,1.0,0.0,0.0
184,0.0,0.0,0.0
185,2.0,2.0,0.0
186,1.0,0.0,0.0
187,2.0,4.0,0.0
188,1.0,0.0,0.0
189,1.0,0.0,0.0
190,4.0,3.0,0.6666666666666666
191,2.0,12.0,0.0
192,2.0,0.0,1.0
193,2.0,0.0,1.0
194,0.0,0.0,0.0
195,1.0,0.0,0.0
196,2.0,0.0,1.0
197,1.0,0.0,0.0
198,1.0,0.0,0.0
199,2.0,0.0,1.0
200,2.0,0.0,1.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,1.0,0.0,0.0
204,0.0,0.0,0.0
