comp,bumber of nodes,global clustering coefficient,transitivity
1,22,0.409090909090909,0.46875
2,2,0.0,0.0
3,7,0.5476190476190476,0.6521739130434783
4,9,0.18518518518518517,0.25
5,10,0.3,0.5217391304347826
6,18,0.4600529100529101,0.5641025641025641
7,2,0.0,0.0
8,3,0.0,0.0
9,5,0.5333333333333333,0.6
10,2,0.0,0.0
11,10,0.5333333333333333,0.6
12,2,0.0,0.0
13,4,1.0,1.0
14,2,0.0,0.0
15,4,0.5833333333333333,0.6
16,4,1.0,1.0
17,3,1.0,1.0
18,6,0.9333333333333335,0.9230769230769231
19,6,0.38888888888888884,0.46153846153846156
20,4,0.0,0.0
21,2,0.0,0.0
22,10,0.6466666666666667,0.55
23,3,0.0,0.0
24,2,0.0,0.0
25,4,1.0,1.0
26,2,0.0,0.0
27,7,0.23809523809523808,0.4
28,2,0.0,0.0
29,2,0.0,0.0
30,3,1.0,1.0
31,2,0.0,0.0
32,2,0.0,0.0
33,3,1.0,1.0
34,2,0.0,0.0
35,4,0.5833333333333333,0.6
36,2,0.0,0.0
37,2,0.0,0.0
38,2,0.0,0.0
39,2,0.0,0.0
40,3,1.0,1.0
