comp,bumber of nodes,global clustering coefficient,transitivity
1,6,0.5277777777777778,0.5625
2,4,0.5833333333333333,0.6
3,4,0.0,0.0
4,4,0.5833333333333333,0.6
5,9,0.3333333333333333,0.5714285714285714
6,3,0.0,0.0
7,8,0.0,0.0
8,3,1.0,1.0
9,5,0.0,0.0
10,2,0.0,0.0
11,5,0.8666666666666666,0.6
12,2,0.0,0.0
13,5,0.4666666666666666,0.5
14,6,0.5833333333333334,0.75
15,2,0.0,0.0
16,3,0.0,0.0
17,2,0.0,0.0
18,8,0.3958333333333333,0.5
19,4,1.0,1.0
20,2,0.0,0.0
21,2,0.0,0.0
22,4,1.0,1.0
23,4,0.0,0.0
24,4,0.5833333333333334,0.6
25,4,0.0,0.0
26,2,0.0,0.0
27,3,0.0,0.0
28,6,0.8999999999999999,0.8666666666666667
29,3,0.0,0.0
30,3,1.0,1.0
31,5,0.3333333333333333,0.42857142857142855
32,2,0.0,0.0
33,3,1.0,1.0
34,2,0.0,0.0
35,3,1.0,1.0
36,2,0.0,0.0
37,2,0.0,0.0
