cell,x,y,slice,radius
0,0,0,0,0
1,1426,2294,1,127
2,1116,3998,1,148
3,879,2728,1,145
4,1163,3248,1,150
5,1798,3558,1,131
6,1791,981,1,148
7,585,771,1,145
8,557,829,1,134
9,2344,2877,1,141
10,688,2422,1,128
11,129,1943,1,147
12,758,2076,1,126
13,280,2456,1,150
14,674,2255,1,149
15,1167,3121,1,137
16,1254,2675,1,137
17,1362,3696,1,128
18,2366,1981,1,129
19,1608,2298,1,137
20,1838,3113,1,136
21,950,223,1,127
22,1589,698,1,149
23,2250,1139,1,131
24,1993,857,1,138
25,1388,1369,1,141
26,1973,1073,1,147
27,2189,1203,1,127
28,1553,1053,1,128
29,827,1393,1,147
30,1725,2995,1,148
31,1726,2098,1,131
32,1403,101,1,125
33,741,2310,1,148
34,1243,3615,1,135
35,650,2078,1,135
36,2254,1246,1,125
37,2189,2394,1,127
38,1094,3853,1,150
39,1321,2254,1,133
40,686,757,1,129
41,1537,3189,1,131
42,1452,3482,1,130
43,1424,668,1,131
44,528,2051,1,138
45,253,3387,1,134
46,2093,2921,1,138
47,585,3729,1,145
48,213,2030,1,134
49,19,2338,1,142
50,888,2509,1,127
51,1016,2453,1,134
52,1762,3497,1,139
53,1502,378,1,149
54,2040,788,1,127
55,361,3548,1,134
56,2118,1814,1,125
57,1113,1633,1,133
58,1085,3287,1,142
59,1866,2299,1,140
60,418,3435,1,134
61,1067,2274,1,126
62,1573,4119,1,136
63,1637,483,1,140
64,1599,3403,1,128
65,2158,3547,1,138
66,644,475,1,131
67,897,699,1,138
68,1662,2450,1,137
69,396,1044,1,127
70,1042,3011,1,144
71,1298,836,1,135
72,1238,3172,1,141
73,1680,848,1,136
74,678,3414,1,130
75,338,2152,1,143
76,1149,1578,1,146
77,492,1687,1,126
78,936,2981,1,138
79,1340,3284,1,149
80,606,3826,1,150
81,1312,705,1,139
82,2246,2218,1,132
83,922,1763,1,144
84,809,1785,1,137
85,2136,2490,1,148
86,1537,4003,1,139
87,1157,2573,1,140
88,958,501,1,126
89,1250,3521,1,130
90,2140,2185,1,147
91,205,1561,1,142
92,540,2308,1,128
93,1131,634,1,136
94,1099,1687,1,142
95,756,1323,1,149
96,1401,3911,1,136
97,1800,3925,1,127
98,1056,77,1,137
99,1315,1905,1,150
100,97,2851,1,136
101,1468,3907,1,148
102,858,3156,1,140
103,2162,3099,1,131
104,1486,243,1,133
105,236,2764,1,148
106,2398,2112,1,125
107,1266,1968,1,134
108,2093,1369,1,127
109,984,2596,1,133
110,1889,3323,1,133
111,1512,1630,1,141
112,1691,1911,1,141
113,1937,2163,1,134
114,1605,965,1,146
115,1838,2937,1,142
116,333,3244,1,146
117,2240,2277,1,132
118,2466,2219,1,140
119,1396,4035,1,142
120,1573,1240,1,149
121,173,1667,1,125
122,757,3281,1,131
123,2236,1209,1,133
124,1870,908,1,136
125,811,2121,1,148
126,397,2240,1,144
127,1735,1253,1,129
128,2369,2293,1,131
129,2137,3012,1,139
130,1808,3248,1,148
131,2331,1176,1,143
132,1440,1423,1,131
133,1943,1126,1,129
134,162,1237,1,139
135,1269,4166,1,136
136,848,1862,1,145
137,322,2501,1,127
138,1855,1153,1,126
139,1921,865,1,150
140,1127,389,1,126
141,1243,3080,1,134
142,2019,2504,1,127
143,1104,671,1,150
144,1020,3570,1,146
145,1925,2772,1,136
146,469,1345,1,150
147,1405,3434,1,131
148,1033,2894,1,131
149,140,2590,1,146
150,804,2037,1,143
151,2304,2637,1,146
152,1585,779,1,145
153,1619,4067,1,134
154,1631,2487,1,131
155,1605,1999,1,125
156,648,1858,1,131
157,1393,3840,1,141
158,1541,3599,1,149
159,725,3192,1,128
160,1156,4062,1,127
161,349,884,1,147
162,1730,2312,1,129
163,299,3337,1,141
164,1826,1859,1,144
165,181,2518,1,131
166,617,1254,1,138
167,219,1401,1,150
168,2015,3208,1,147
169,1841,2610,1,141
170,1418,2098,1,150
171,2032,679,1,146
172,1448,2922,1,148
173,2334,1919,1,136
174,2094,3407,1,126
175,2352,2040,1,134
176,24,1758,1,142
177,1770,2980,1,142
178,1182,1259,1,143
179,1727,1664,1,139
180,828,1713,1,132
181,491,1073,1,132
182,1348,1346,1,126
183,317,2280,1,148
184,512,2851,1,138
185,1385,3175,1,134
186,785,4008,1,149
187,1183,4105,1,125
188,1068,2012,1,135
189,1156,2117,1,128
190,2444,2607,1,143
191,2008,2662,1,133
192,1825,3626,1,141
193,1469,3784,1,149
194,903,1358,1,150
195,2095,865,1,125
196,950,1829,1,126
197,1542,1166,1,139
198,2388,2066,1,134
199,1126,773,1,134
200,1080,2851,1,139
201,1655,546,1,133
202,1827,1677,1,147
203,422,3109,1,132
204,292,2756,1,126
205,755,1081,1,138
206,229,2577,1,128
207,1541,1031,1,139
208,1628,1051,1,134
209,842,3447,1,136
210,1496,160,1,130
211,1113,2632,1,136
212,1565,3263,1,149
213,834,2098,1,141
214,2236,2307,1,127
215,2294,1566,1,138
216,537,2028,1,142
217,383,2201,1,146
218,1422,3176,1,138
219,542,1996,1,145
220,2285,3103,1,143
221,707,935,1,129
222,2277,1651,1,149
223,1864,3943,1,138
224,1368,748,1,140
225,92,2920,1,147
226,778,235,1,146
227,31,1772,1,147
228,1241,3364,1,144
229,1479,1656,1,142
230,1938,1167,1,144
