cell,x,y,slice,radius
0,0,0,0,0
1,899,882,1,144
2,1567,3878,1,148
3,255,1715,1,146
4,507,2027,1,135
5,2138,1446,1,133
6,1179,2592,1,139
7,1178,659,1,131
8,2109,1378,1,142
9,958,1319,1,128
10,1909,1543,1,140
11,2177,2900,1,142
12,541,725,1,127
13,712,1071,1,148
14,448,2078,1,131
15,1868,1599,1,131
16,1020,1282,1,149
17,726,3429,1,134
18,802,505,1,137
19,556,3097,1,145
20,911,1314,1,132
21,1359,171,1,149
22,415,1192,1,140
23,1878,1155,1,134
24,1334,139,1,145
25,948,2280,1,135
26,619,3517,1,147
27,1279,3234,1,126
28,1112,1335,1,128
29,1960,643,1,129
30,998,1154,1,135
31,1301,2005,1,141
32,1179,1776,1,145
33,350,1672,1,148
34,1918,3302,1,129
35,1914,3340,1,130
36,1929,2690,1,135
37,768,1948,1,130
38,1344,3148,1,128
39,166,2218,1,139
40,486,452,1,139
41,1016,4206,1,139
42,1768,1098,1,140
43,1325,2448,1,146
44,191,2106,1,142
45,1456,3603,1,129
46,1345,109,1,135
47,537,3370,1,132
48,1000,4151,1,130
49,859,3200,1,147
50,1161,2163,1,139
51,1096,3883,1,131
52,1017,236,1,144
53,431,1347,1,144
54,974,1439,1,137
55,1788,3511,1,139
56,998,1110,1,129
57,1886,2415,1,129
58,1263,1048,1,147
59,401,3257,1,149
60,1128,4041,1,139
61,749,2632,1,131
62,2042,2972,1,131
63,1388,1678,1,150
64,1856,3483,1,128
65,633,654,1,137
66,1291,1515,1,149
67,945,4179,1,138
68,574,947,1,148
69,1677,1257,1,139
70,1056,3758,1,144
71,1498,1944,1,136
72,1829,1897,1,147
73,1375,4160,1,132
74,1409,2646,1,133
75,760,2886,1,128
76,1650,3220,1,145
77,1640,3618,1,150
78,2296,1104,1,129
79,1611,2162,1,133
80,1119,1130,1,148
81,1006,2836,1,129
82,1866,1523,1,139
83,313,2603,1,134
84,736,2151,1,135
85,570,3064,1,148
86,390,3615,1,140
87,628,3211,1,126
88,585,1336,1,135
89,1895,1181,1,141
90,1171,865,1,126
91,696,1688,1,133
92,1775,3798,1,129
93,1186,2722,1,133
94,1744,2956,1,130
95,2033,2755,1,144
96,1188,1439,1,133
97,1881,2202,1,141
98,1203,3054,1,128
99,579,1910,1,130
100,592,2319,1,133
101,205,1677,1,126
102,1654,673,1,149
103,1037,529,1,135
104,858,588,1,141
105,2184,2888,1,146
106,2448,1568,1,143
107,2242,3258,1,149
108,110,2176,1,136
109,2324,1494,1,135
110,773,1381,1,130
111,946,816,1,133
112,1760,843,1,129
113,667,1600,1,134
114,1706,615,1,130
115,409,715,1,136
116,489,2422,1,132
117,1467,2170,1,126
118,2040,787,1,125
119,1128,1201,1,133
120,1215,1027,1,138
121,1007,3207,1,130
122,1782,3733,1,150
123,692,3821,1,141
124,888,2372,1,132
125,2044,1567,1,142
126,408,2502,1,128
127,2367,2438,1,145
128,1874,1052,1,150
129,1541,1198,1,132
130,1929,1540,1,128
131,2423,2749,1,141
132,1399,2616,1,138
133,929,1518,1,130
134,1426,4199,1,143
135,1867,445,1,150
136,1816,1389,1,140
137,86,2390,1,134
138,1460,912,1,131
139,2004,1039,1,144
140,1457,2335,1,135
141,1910,942,1,130
142,1937,3231,1,137
143,1003,2797,1,145
144,867,268,1,127
145,920,3072,1,130
146,1119,843,1,147
147,2423,1672,1,131
148,1084,2807,1,141
149,173,2094,1,138
150,2380,1634,1,136
151,724,1601,1,149
152,542,779,1,140
153,929,1826,1,149
154,758,3016,1,144
155,1904,1601,1,142
156,252,1161,1,131
157,1829,3126,1,137
158,1679,3615,1,127
159,1051,49,1,126
160,1107,480,1,150
161,2343,1258,1,133
162,1360,3074,1,132
163,1113,3017,1,145
164,2038,1764,1,145
165,1173,3981,1,135
166,2129,3424,1,142
167,347,2746,1,150
168,1242,1766,1,139
169,1045,240,1,125
170,2480,2187,1,146
171,2025,501,1,144
172,2193,2020,1,137
173,549,2455,1,134
174,455,2245,1,140
175,1250,591,1,145
176,1141,3684,1,130
177,1088,3759,1,149
178,520,995,1,131
179,778,3031,1,138
180,2178,2584,1,145
181,507,3434,1,131
182,948,1517,1,128
183,2239,2732,1,127
184,293,1543,1,149
185,433,1788,1,129
186,1789,4013,1,149
187,2180,1578,1,138
188,78,1935,1,150
189,905,3153,1,149
190,1316,3714,1,128
191,194,1224,1,146
192,721,2596,1,142
193,892,358,1,125
194,357,2889,1,142
195,1068,3485,1,132
196,1012,2400,1,146
197,885,2423,1,149
198,1616,611,1,149
199,617,1691,1,130
200,488,2350,1,149
201,2176,3330,1,133
202,2400,2146,1,148
203,553,3289,1,137
204,395,1679,1,141
205,1781,3647,1,126
206,1650,3215,1,135
207,1904,579,1,136
208,1866,1460,1,134
209,1894,2599,1,150
210,1157,89,1,128
211,773,893,1,136
212,1122,4046,1,137
213,834,3066,1,143
214,302,3236,1,148
215,1609,3829,1,139
216,2220,1552,1,150
217,1427,398,1,128
218,1445,3907,1,137
219,1249,1846,1,132
220,162,1811,1,133
221,583,2792,1,147
222,1061,79,1,144
223,1034,2206,1,146
224,1345,1743,1,129
225,1769,416,1,143
226,1345,2105,1,128
227,1519,3413,1,138
228,1587,3172,1,126
229,672,3987,1,146
230,1436,1404,1,128
