comp,bumber of nodes,global clustering coefficient,transitivity
1,2,0.0,0.0
2,4,0.5833333333333333,0.6
3,4,0.5833333333333333,0.6
4,3,1.0,1.0
5,3,1.0,1.0
6,2,0.0,0.0
7,2,0.0,0.0
8,2,0.0,0.0
9,2,0.0,0.0
10,2,0.0,0.0
11,3,1.0,1.0
12,3,0.0,0.0
13,2,0.0,0.0
14,6,0.3333333333333333,0.5
15,2,0.0,0.0
16,6,0.7333333333333333,0.5714285714285714
17,3,0.0,0.0
18,2,0.0,0.0
19,3,0.0,0.0
20,3,0.0,0.0
21,3,1.0,1.0
22,2,0.0,0.0
23,3,0.0,0.0
24,3,0.0,0.0
25,2,0.0,0.0
26,2,0.0,0.0
27,2,0.0,0.0
28,5,0.3333333333333333,0.42857142857142855
29,2,0.0,0.0
30,2,0.0,0.0
31,2,0.0,0.0
32,2,0.0,0.0
33,2,0.0,0.0
34,2,0.0,0.0
35,2,0.0,0.0
36,2,0.0,0.0
37,3,0.0,0.0
38,2,0.0,0.0
39,2,0.0,0.0
40,2,0.0,0.0
41,2,0.0,0.0
42,2,0.0,0.0
43,3,0.0,0.0
44,3,0.0,0.0
45,2,0.0,0.0
46,4,0.0,0.0
47,2,0.0,0.0
48,2,0.0,0.0
49,2,0.0,0.0
50,3,0.0,0.0
51,2,0.0,0.0
52,3,1.0,1.0
53,2,0.0,0.0
54,2,0.0,0.0
55,2,0.0,0.0
56,2,0.0,0.0
57,2,0.0,0.0
58,2,0.0,0.0
59,2,0.0,0.0
60,3,0.0,0.0
61,2,0.0,0.0
62,3,0.0,0.0
63,2,0.0,0.0
64,5,0.0,0.0
65,3,0.0,0.0
66,2,0.0,0.0
67,2,0.0,0.0
68,3,1.0,1.0
69,3,0.0,0.0
70,3,0.0,0.0
71,2,0.0,0.0
72,2,0.0,0.0
73,2,0.0,0.0
74,2,0.0,0.0
75,3,0.0,0.0
76,2,0.0,0.0
77,2,0.0,0.0
78,3,0.0,0.0
79,2,0.0,0.0
80,2,0.0,0.0
81,4,0.5833333333333334,0.6
82,2,0.0,0.0
83,2,0.0,0.0
84,2,0.0,0.0
85,3,0.0,0.0
86,2,0.0,0.0
87,2,0.0,0.0
88,3,0.0,0.0
