cell,x,y,slice,radius
0,0,0,0,0
1,2528,3507,1,140
2,3544,2709,1,141
3,266,2048,1,145
4,2943,4294,1,132
5,3495,3139,1,135
6,1695,2813,1,132
7,1805,2648,1,148
8,3234,2218,1,132
9,2130,2628,1,129
10,1194,1243,1,150
11,500,1180,1,126
12,1160,2705,1,146
13,1581,3950,1,132
14,2888,3964,1,126
15,2564,2284,1,148
16,1378,1732,1,150
17,1496,1141,1,125
18,1521,3254,1,126
19,2105,3247,1,146
20,1114,1708,1,125
21,3521,2700,1,126
22,2020,2437,1,137
23,719,3825,1,134
24,513,1724,1,140
25,982,2231,1,133
26,1981,3607,1,127
27,2842,4341,1,128
28,3113,1738,1,141
29,533,2917,1,145
30,1801,2517,1,138
31,1967,4589,1,142
32,1680,1347,1,149
33,2927,1197,1,133
34,998,3827,1,139
35,1544,2735,1,130
36,1430,1575,1,150
37,1158,2447,1,131
38,3219,2136,1,128
39,2416,173,1,132
40,1447,3036,1,143
41,3170,4049,1,140
42,3326,3441,1,145
43,172,3385,1,125
44,1518,1722,1,141
45,2012,2055,1,142
46,1436,4001,1,134
47,1985,1104,1,131
48,1637,1372,1,127
49,729,2027,1,132
50,868,371,1,130
51,2579,2030,1,134
52,1076,3064,1,133
53,1542,336,1,133
54,2153,3598,1,135
55,3008,932,1,140
56,2183,1815,1,126
57,363,1502,1,137
58,136,3189,1,142
59,2256,3424,1,150
60,1084,4246,1,128
61,3131,2485,1,125
62,1898,4536,1,145
63,343,1560,1,144
64,1929,3334,1,146
65,1156,3306,1,144
66,2591,1845,1,133
67,1913,2231,1,150
68,2272,637,1,138
69,2547,1017,1,135
70,2808,1895,1,142
71,2324,1983,1,144
72,994,4127,1,132
73,3200,3560,1,138
74,1854,3101,1,140
75,2099,4444,1,129
76,2735,2228,1,142
77,3272,3086,1,133
78,1192,1733,1,140
79,1501,2027,1,142
80,2474,4469,1,148
81,1818,1364,1,140
82,675,3500,1,137
83,1233,3044,1,135
84,2556,433,1,127
85,2814,2493,1,137
86,1464,4144,1,144
87,2869,576,1,146
88,2799,1635,1,140
89,1871,696,1,145
90,2094,3513,1,127
91,1257,1951,1,129
92,981,314,1,150
93,2503,3062,1,126
94,924,2912,1,145
95,578,1280,1,136
96,1825,1672,1,128
97,2651,3596,1,128
98,690,1555,1,131
99,839,4251,1,143
100,911,4483,1,137
101,1560,3754,1,128
102,1715,2517,1,135
103,2009,2445,1,127
104,2158,3498,1,135
105,1157,4777,1,136
106,1624,2806,1,142
107,3361,2576,1,129
108,285,2296,1,125
109,1555,608,1,131
110,1214,377,1,139
111,1165,4164,1,137
112,3013,2130,1,130
113,3131,2591,1,133
114,2180,3520,1,135
115,2707,2238,1,127
116,1378,1566,1,138
117,2170,3054,1,140
118,3225,3928,1,142
119,1454,4684,1,129
120,1570,115,1,147
121,257,2334,1,145
122,2555,3500,1,149
123,1372,965,1,126
124,2372,1748,1,148
125,699,2915,1,137
126,2128,4384,1,129
127,2295,3650,1,148
128,2112,4176,1,135
129,2317,2190,1,147
130,2176,4464,1,131
131,1912,4506,1,141
132,2073,3776,1,132
133,1844,492,1,130
134,2874,3827,1,143
135,1459,3319,1,147
136,2231,796,1,139
137,1696,1751,1,147
138,2268,2251,1,133
139,991,577,1,142
140,2996,1680,1,139
141,2845,1411,1,144
142,1737,2701,1,149
143,220,3226,1,126
144,2438,505,1,134
145,2821,1144,1,139
146,1420,1889,1,132
147,2624,3004,1,129
148,302,2550,1,141
149,677,4434,1,143
150,2072,3573,1,150
151,2165,4012,1,136
152,2045,209,1,148
153,1517,4337,1,125
154,3203,2554,1,138
155,1841,1299,1,128
156,539,2048,1,140
157,2381,1848,1,129
158,2355,2480,1,135
159,2679,2313,1,140
160,2990,2747,1,145
161,936,863,1,145
162,658,1431,1,150
163,1440,250,1,126
164,113,2276,1,147
165,2364,2483,1,129
166,2632,655,1,136
167,1782,2066,1,144
168,1079,1308,1,144
169,566,3525,1,139
170,2928,2737,1,127
171,1835,1995,1,149
172,2523,1100,1,129
173,2435,3038,1,143
174,2063,1844,1,128
175,738,691,1,134
176,230,1679,1,149
177,3012,3764,1,141
178,1727,2031,1,142
179,27,2296,1,140
180,1052,1999,1,147
181,2265,4244,1,140
182,2797,1296,1,146
183,348,1841,1,141
184,2794,1484,1,150
185,2559,1526,1,126
186,451,3103,1,132
187,2037,136,1,136
188,2271,3682,1,125
189,2234,4026,1,128
190,905,414,1,136
191,988,3877,1,131
192,577,3690,1,133
193,1499,3312,1,141
194,2024,741,1,131
195,3272,3499,1,149
196,1125,2704,1,150
197,1847,3279,1,147
198,3291,3463,1,127
199,2176,4285,1,126
200,1859,4457,1,128
201,1117,3466,1,148
202,2542,2953,1,146
203,1030,536,1,148
204,767,3474,1,148
205,3169,1236,1,143
206,2773,3833,1,144
207,1364,2776,1,137
208,500,1107,1,140
209,3350,2802,1,133
210,3037,3114,1,131
211,278,1879,1,147
212,787,4051,1,134
213,1305,849,1,129
214,2739,2915,1,132
215,1030,473,1,137
216,3422,1513,1,126
217,2137,125,1,146
218,3381,2808,1,141
219,1225,369,1,143
220,1217,4359,1,135
221,1211,4373,1,128
222,2063,2809,1,128
223,1464,3462,1,144
224,2775,3358,1,132
225,998,4547,1,131
226,833,3456,1,133
227,1739,3534,1,125
228,1072,3011,1,140
229,1127,4220,1,138
230,1929,3663,1,132
231,1103,4017,1,138
232,2534,2190,1,126
233,3524,2656,1,132
234,2964,1629,1,138
235,1583,674,1,134
236,3175,2986,1,129
237,1503,307,1,144
238,2584,1500,1,150
239,3536,2499,1,147
240,2016,3706,1,145
241,2100,1106,1,144
242,1023,1440,1,133
243,1939,723,1,137
244,2083,2708,1,129
245,1665,2361,1,135
246,1562,3111,1,149
247,1732,2426,1,138
248,943,4084,1,134
249,3179,1825,1,126
250,1118,4254,1,140
251,1460,2381,1,133
252,2887,649,1,148
253,1619,1841,1,129
254,3332,1965,1,146
255,3019,1697,1,132
256,2976,3828,1,136
257,2225,644,1,126
258,830,797,1,145
259,3206,2660,1,125
260,1536,1561,1,128
261,2304,128,1,143
262,313,1279,1,137
263,334,2873,1,149
264,3350,2153,1,147
265,1259,166,1,133
266,541,3078,1,134
267,1840,4778,1,133
268,351,3711,1,149
269,3513,2226,1,142
270,376,1888,1,144
271,3499,2836,1,131
272,1140,847,1,130
273,2710,3788,1,148
274,2589,2244,1,143
275,1750,4073,1,142
276,2112,4515,1,136
277,2166,3074,1,128
278,1627,3948,1,146
279,620,963,1,145
280,1004,1405,1,150
281,1239,3465,1,143
282,2511,3458,1,140
283,2796,1041,1,149
284,2182,3601,1,138
285,542,975,1,149
286,2947,1156,1,145
287,2943,2941,1,147
288,2431,1848,1,135
289,3312,2881,1,135
290,1878,1116,1,127
291,2229,2039,1,125
292,3088,2496,1,137
293,1452,4894,1,128
294,2126,335,1,134
295,1644,4511,1,148
296,473,2376,1,147
297,958,1266,1,136
298,2254,216,1,138
299,2107,1535,1,144
300,2284,1989,1,133
301,1350,1146,1,126
302,2263,1681,1,131
303,503,1537,1,132
304,2752,3363,1,126
305,875,3131,1,126
306,1607,2426,1,149
307,2759,3407,1,125
308,1524,3341,1,130
309,640,3039,1,149
310,675,2102,1,127
311,2328,3757,1,132
312,1014,587,1,139
313,325,3756,1,144
314,2048,4770,1,139
315,1864,3756,1,127
316,1654,1604,1,131
317,1083,381,1,140
318,2318,598,1,147
319,1849,508,1,136
320,1610,4456,1,139
321,2659,2209,1,136
322,2851,704,1,129
323,2366,4804,1,143
324,2564,1666,1,136
325,2638,2794,1,125
326,2721,1715,1,144
327,3272,3602,1,144
328,2579,4475,1,137
329,2072,1190,1,125
330,1388,2036,1,135
331,2096,3219,1,131
332,2456,4225,1,127
333,1951,2102,1,130
334,2481,1909,1,142
335,1426,2613,1,130
336,1764,2633,1,148
337,385,3217,1,125
338,685,2412,1,135
339,3116,3591,1,134
340,3314,3727,1,137
341,786,2501,1,144
342,2810,3465,1,130
343,1349,2931,1,139
344,1704,3835,1,141
345,1800,1619,1,133
346,1767,4351,1,150
347,1341,4683,1,129
348,2562,2110,1,129
349,960,2471,1,131
350,887,3256,1,127
351,2278,3043,1,144
352,1719,3008,1,137
353,1563,4502,1,128
354,2496,1757,1,135
355,2961,2226,1,143
356,2397,3288,1,136
357,1314,617,1,142
358,1798,1833,1,145
359,571,3606,1,145
360,1816,170,1,136
361,2913,1964,1,128
362,1795,2112,1,140
363,2206,1073,1,137
364,2106,585,1,138
365,1029,2265,1,126
366,3321,3700,1,139
367,1983,2131,1,147
